zpid,price,priceLabel,address,beds,baths,hdpData.homeInfo.livingArea,latLong.latitude,latLong.longitude,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,country,,
2062923211,"$29,000",$29K,"Township Road I Asls #85-015, Skwentna, AK 99667",6,4,,27.97536,-151.44469,99667,Skwentna,AK,31.09,acres,USA,,
2063220877,250000,,Town Road B No Rd,7,4,1856,27.975574,-150.378,99688,Willow,AK,4.48,Acres,USA,,
2064294962,250000,,Town Road B No Rd,7,3,1856,27.976173,-150.378,99688,Willow,AK,4.48,Acres,USA,,
2064311389,"$125,000",$125K,"L1 Mona Lake Deska Riv, Willow, AK 99688",7,10,,27.976498,-150.49911,99688,Willow,AK,10,acres,USA,,
2064322779,299000,,49424 Goshen Hills Rd,7,7,2808,27.976559,-149.91815,99688,Willow,AK,5.38,Acres,USA,,
2064894858,"$480,000",$480K,"40327 S Malaspina Loop, Talkeetna, AK 99676",7,7,1312,27.976732,-149.93494,99676,Talkeetna,AK,5,acres,USA,,
2064901697,480000,,40327 S Malaspina Loop,7,5,1312,27.977457,-149.93494,99676,Talkeetna,AK,5,Acres,USA,,
2064918414,175000,,L27 Us Survey #3484,7,7,2100,27.97756,-146.50607,99588,Glennallen,AK,4.43,Acres,USA,,
2064918414,190000,,0 Tok Cutoff Hwy,7,4,1100,27.977564,-145.28998,99586,Gakona,AK,0.97,Acres,USA,,
2065537915,70000,,23729 S Veta Loop,7,7,420,27.978685,-149.92644,99676,Talkeetna,AK,10,Acres,USA,,
2066669374,390000,,23265 S Jurasek Dr,7,12,1751,27.980026,-150.32933,99683,Trapper Creek,AK,1.81,Acres,USA,,
2068952873,"$89,500",,"High Mountain, Trapper Creek, AK 99683",8,13,0,27.980272,-150.23373,99683,Trapper Creek,AK,9.7,acres,USA,,
2069967770,2950000,,100 N Shulin Lake,8,10,11000,27.982145,-150.709,99683,Trapper Creek,AK,9.15,Acres,USA,,
2070296330,129000,,17 Mile Teklanika Riv,8,6,1066,27.982306,-149.34879,99760,Nenana,AK,4,Acres,USA,,
2071076608,"$499,900",$500K,"Nhn Salcha Riv, Salcha, AK 99714",8,10,3474,27.982737,-146.89005,99714,Salcha,AK,5,acres,USA,,
